FID	IID	U1	U2	U3	U4	U5	U6	U7	U8	U9	U10
2471	NA20289	-0.02530457	-0.002582495	0.02900829	0.006116928	-0.01447201	0.01384974	-0.008328991	0.01620877	0.001973699	-0.01223602
2489	NA20344	-0.02434891	-0.00295705	0.02815445	-0.002165891	-0.01040661	0.01838718	0.005083512	-0.01603852	-0.002239304	-0.0117208
2483	NA20333	-0.03030368	-0.000728943	0.02653352	0.005861154	-0.01133552	0.001589483	0.0009917951	0.01200641	-0.003474159	-0.001260674
2466	NA20277	-0.03011834	0.0006738846	0.02523879	0.0003578896	-0.004600563	0.006354901	-0.006632987	-0.000590972	0.001997456	0.001809427
2476	NA20300	-0.01448739	0.004625129	0.03227736	-0.01317907	0.0418681	-0.002993086	0.003322707	-0.007145597	-0.003560107	0.001622964
2418	NA19819	-0.02297675	-0.005835834	0.02204566	0.002646362	-0.006535861	-0.006809575	0.01138135	0.006717628	-0.00577622	-0.001376024
2488	NA20343	-0.02188148	-0.005677273	0.02598636	0.001488885	-0.01784579	-0.004860143	-0.006556472	0.002336727	-0.004650797	0.002723054
2357	NA19625	-0.01741839	0.005029267	0.03497372	-0.00222062	0.03815111	0.006301158	0.002389082	0.004130706	0.00628014	0.003070679
2483	NA20332	-0.02677572	-0.003765011	0.02670897	0.00395977	-0.01365469	-0.000623647	0.001857197	0.01231931	-0.001692956	-0.006684184
2367	NA19700	-0.03007761	0.0005354426	0.0257471	0.004136414	-0.01085546	0.005296899	0.001695335	0.01253979	-0.01631217	-0.006041984
2472	NA20291	-0.03877252	0.007790674	0.02522212	0.004073292	-0.006573155	0.0009901532	0.002554311	-0.00739152	-0.004328811	-0.003449969
2488	NA20342	-0.01477043	-0.01081214	0.01817143	0.0008186849	-0.01828277	-0.007513784	0.002879741	-0.01200651	-0.01245997	0.006791641
2484	NA20334	-0.01684399	-0.01085711	0.02257087	0.002490464	-0.01392606	-0.008027308	0.00823617	0.02279196	-0.01884312	-0.02553665
2494	NA20356	-0.03106023	0.0003264426	0.02665497	0.003908138	-0.003126659	-0.008984883	-0.007076473	0.01153412	-0.01006709	-0.002180038
